Classifier,Success Rate,Classifier Prediction,Test Labels,Sub Labels
LDA,0.4666666666666667,[3 2 2 3 3 3 1 2 2 2 1 3 1 2 2],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  1   1   0   0   2   0 254   1 255   0   0   1   0 255   0]
LDA CV,0.5833333333333333,[],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[]
KNN-5,0.5333333333333333,[2 3 2 2 3 3 1 2 1 2 1 3 1 3 2],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  0   2   0 255   2   0 254   1 254   0   0   1   0   0   0]
KNN-7,0.4666666666666667,[2 3 2 2 3 3 1 3 1 2 1 2 3 3 3],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  0   2   0 255   2   0 254   2 254   0   0   0   2   0   1]
SVC,0.4,[3 3 2 2 3 3 1 2 1 2 1 3 1 3 3],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  1   2   0 255   2   0 254   1 254   0   0   1   0   0   1]
SVC CV,0.6166666666666667,[],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[]
NB,0.4666666666666667,[2 1 2 2 3 2 1 2 2 2 1 2 1 2 3],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  0   0   0 255   2 255 254   1 255   0   0   0   0 255   1]
LR,0.4,[3 2 2 3 3 3 1 2 2 2 1 3 1 2 3],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  1   1   0   0   2   0 254   1 255   0   0   1   0 255   1]
LR CV,0.6333333333333334,[],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[]
LDA GA,0.4,[3 1 2 3 3 2 1 3 2 3 2 2 3 3 2],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  1   0   0   0   2 255 254   2 255   1   1   0   2   0   0]
LDA GA CV,0.5666666666666668,[],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[]
KNN5 GA,0.3333333333333333,[3 2 2 2 3 1 1 2 3 2 1 3 1 2 3],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  1   1   0 255   2 254 254   1   0   0   0   1   0 255   1]
KNN5 GA CV,0.45,[],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[]
KNN7 GA,0.4666666666666667,[3 1 3 2 3 2 1 2 3 2 1 2 1 3 3],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  1   0   1 255   2 255 254   1   0   0   0   0   0   0   1]
KNN7 GA CV,0.5,[],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[]
SVC GA,0.3333333333333333,[3 3 3 3 3 3 1 2 3 3 2 3 1 3 3],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  1   2   1   0   2   0 254   1   0   1   1   1   0   0   1]
SVC GA CV,0.4666666666666667,[],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[]
NB GA,0.5333333333333333,[2 1 2 2 2 2 1 2 2 2 1 2 1 2 2],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  0   0   0 255   1 255 254   1 255   0   0   0   0 255   0]
NB GA CV,0.65,[],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[]
LR GA,0.5333333333333333,[3 1 2 3 3 2 1 2 3 2 1 3 1 2 2],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  1   0   0   0   2 255 254   1   0   0   0   1   0 255   0]
LR GA CV,0.6,[],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[]
MV,0.4666666666666667,[3, 2, 2, 3, 3, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[ 1  1  0  0  2  0 -2  1 -1  0  0  1  0 -1  0]
MV_GA,0.4666666666666667,[3, 1, 2, 3, 3, 2, 1, 2, 3, 3, 1, 3, 1, 2, 2],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[ 1  0  0  0  2 -1 -2  1  0  1  0  1  0 -1  0]
MV_ALL,0.5333333333333333,[3, 1, 2, 3, 3, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[ 1  0  0  0  2  0 -2  1 -1  0  0  1  0 -1  0]
STACKING,0.4666666666666667,[3 1 2 3 3 2 1 2 2 2 1 3 1 2 2],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  1   0   0   0   2 255 254   1 255   0   0   1   0 255   0]
OSTACKING,0.4,[3 3 2 2 3 3 1 2 2 2 1 3 1 3 3],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  1   2   0 255   2   0 254   1 255   0   0   1   0   0   1]
OSTACKING GA,0.4,[3 1 3 3 3 2 1 2 3 2 1 3 2 3 3],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  1   0   1   0   2 255 254   1   0   0   0   1   1   0   1]
OSTACKING ALL,0.4666666666666667,[3 1 2 3 3 3 1 2 2 2 1 3 2 3 3],[2 1 2 3 1 3 3 1 3 2 1 2 1 3 2],[  1   0   0   0   2   0 254   1 255   0   0   1   1   0   1]
